ID,RepoName,CommitId,Redable,CommitMessage
0,256dpi/arduino-mqtt,aa845e9af051c306f01073bf492927428b58c0bf,1,cleanup build matrix
1,256dpi/arduino-mqtt,d1518e2f4ceb41084284b38d62386254af0c0018,0, 
2,AOMediaCodec/SVT-AV1,592a584827e16c741f94e986a526b5179ad65dda,1,"[WIP] CI: Add coding style check to Travis  cleanup (#293)  * CI: Add coding style check to Travis  cleanup  - Add coding style check (Borrowed from dav1d's [.gitlab-ci.yml](https://code.videolan.org/videolan/dav1d/blob/master/.gitlab-ci.yml)) - Fixes coding style error (trailing white space) in ""name: unittest""  For now the Style check is allowed to fail (waiting on #248)  but that should be reversed as soon as possible.  * CI: Rewrite Style check from dav1d to SVT-AV1  * CI: Fix SVT-AV1.git in Style check"
3,AOMediaCodec/SVT-AV1,6a208489ef1a07b02552b32c676ff50ac27d076d,0, 
4,AOMediaCodec/SVT-AV1,ef7ca87d525cd8b914ba2ca49af3aae153189a7d,1,Travis: Add GCC 8 and GCC 9 builds  cleanup   - Adds dedicated GCC 8 and GCC 9 builds  - Removes redundant environment variables  - Adds some layout improvements and documentation
5,AOMediaCodec/SVT-AV1,d09080098a324a3d73a6011c3de3b3ddfca1e2d2,0, 
8,AOMediaCodec/SVT-AV1,899ce25332def66a946e0b087e034172437639c3,1,Travis-ci: Cleanup old jobs and yaml files (#1282)  Removed the ffmpeg  gstreamer and binary identical jobs Removed references to deleted jobs
9,AOMediaCodec/SVT-AV1,7ccc705dbc0c4f972eeea77c1861377e484e919b,0, 
10,ARMmbed/mbed-os,b7c15989ced57f38fb2bd15840681e9371fd2117,1,"Split out ""docs"" into its own Travis job  And some cleanup"
11,ARMmbed/mbed-os,7414d799b0752975e7c6b6773427b2b56d221cb1,0, 
12,ARMmbed/mbed-os,8b54e8c47d5247e3555a310c14765090e03a5d34,1,Travis: Minor cleanup  language -> python pip --user installs -> virtual env installs
13,ARMmbed/mbed-os,a67cbf268029a7c05b88b6e98545fd156385fd96,0, 
14,ARMmbed/mbed-os,32a8b401b2ec9ba4e63a649e86e852f92e5cbc21,1,"Split out ""docs"" into its own Travis job  And some cleanup"
15,ARMmbed/mbed-os,82811f5f338ba9fea4107be9737c70eb904a2e74,0, 
16,ARMmbed/mbed-os,bc16f2f29dffff7356b9c60a28cb91e38deb08d6,1,Travis: Minor cleanup  language -> python pip --user installs -> virtual env installs
17,ARMmbed/mbed-os,802ea1e20a2b522d32ce9b38cce771c7430482ae,0, 
22,ClusterLabs/pacemaker,38a7c5df7c01ffeb114dfd28e0418b90066930bc,1,Test: travis: build up a test matrix incl. no-compile item; cleanup  - drop chrpath and perl packages as dependencies completely - restructure for readability  minimize separate invocations - add no-compile (maintenance only) test item to the matrix   that runs xml/regression.sh (without any switch and with -B/-S)   once all the RNG files are generated (bypassing full-fledged   configuration); it also sanity-checks that RNG files  unchecked   so far  validate per public relaxng.rng schema themselves
23,ClusterLabs/pacemaker,b24ca8dbca0e44281c52b05009628ae588064fb6,0, 
24,DPDK/dpdk,9135705bb81df0b529821a121004c41f176995ff,1,"ci: fix Travis config warnings  Reading https://config.travis-ci.com/ and using https://config.travis-ci.com/explore to check changes  we can cleanup some warnings reported by the config validation options in Travis.  Example on a job in master: https://travis-ci.com/DPDK/dpdk/builds/149537002/config  Build config validation: root: deprecated key doc_packages (anchor on a non-private key) root: deprecated key build_32b_packages (anchor on a non-private key) root: deprecated key libabigail_build_packages (anchor on a non-private key) root: deprecated key extra_packages (anchor on a non-private key) root: deprecated key aarch64_packages (anchor on a non-private key) root: key matrix is an alias for jobs  using jobs  For the ""(anchor on a non-private key)"" warnings  the Travis documentation [1] recommends prefixing private keys with _ (Travis schema is available at [2]).  The use of the ""matrix"" key is allowed  but it is just an alias to the ""jobs"" key.  1: https://docs.travis-ci.com/user/build-config-yaml#private-keys-as-yaml-anchors-and-aliases-and-external-tooling 2: https://github.com/travis-ci/travis-yml/blob/730a77f4028b91293a55c8c1c52fc72e64379dde/schema.json  Signed-off-by: David Marchand <david.marchand@redhat.com> Acked-by: Aaron Conole <aconole@redhat.com>"
25,DPDK/dpdk,347a240489fdda506ccc6a6f1676e876cdb5602b,0, 
26,DeviationTX/deviation,346c485d1ad209295c9272f0f13d8c117ff5e70e,1,Cleanup travis build to only setup needed pre-requisites and cleanly support deployong with API/Cron
27,DeviationTX/deviation,75bd84102cac7c7ff370e52d9c621435a2549bc3,0, 
30,FluidSynth/fluidsynth,6ddf9448e330b26eb1213f0c86ac37960babc2ab,1,cleanup travis
31,FluidSynth/fluidsynth,bd24c2f1f12eb037f906d0b69519e433ff5e214c,0, 
32,FluidSynth/fluidsynth,c0ff5a0af1d699834d080d3aee929c6c43b2e29a,1,Optimize Travis and AppVeyor CI builds (#451)  * cleanup unneeded compiler variations (now builds in 7 min rather than 13 min) * Windows:   * use VS2017 for vcpkg  VS2015 for manual build * Linux:   * install alsa  jack  pulse  portaudio  ladspa  libsndfile for all builds * MacOSX:   * use AppleClang   * reorder macosx build in between linux build  as macosx usually takes longer to build  allowing to make better use of build time (via pipelining)   * switch to XCode10  enabling TravisCI to support CoreAudio and CoreMidi
33,FluidSynth/fluidsynth,3d94d012255be3747633f4d816c02ad070cd5ede,0, 
40,JHUISI/charm,3ab4e30c9ff66d7d47db5f5e84322a6ecf84a647,1,Cleanup and test under multiple python versions
41,JHUISI/charm,beddb76dc899a78b318f32dabbff7eb130dfafef,0, 
